,expl,name,time,value
0,월성1호기 발전기 출력,2211-PWRGEN.C,2024-07-25 12:23,0
1,월성1호기 원자로 출력,2211-PWRRX.C,2024-07-25 12:23,0
2,월성2호기 발전기 출력,2212-PWRGEN.C,2024-07-25 12:30,0
3,월성2호기 원자로 출력,2212-PWRRX.C,2024-07-25 12:21,0
4,월성3호기 발전기 출력,2223-PWRGEN.C,2024-07-25 12:30,0
5,월성3호기 원자로 출력,2223-PWRRX.C,2024-07-25 12:21,0
6,월성4호기 발전기 출력,2224-PWRGEN.C,2024-07-25 12:30,0
7,월성4호기 원자로 출력,2224-PWRRX.C,2024-07-25 12:21,0
8,신월성1호기 발전기 출력,2235-PWRGEN.C,2024-07-25 12:30,0
9,신월성1호기 원자로 출력,2235-PWRRX.C,2024-07-25 12:21,0
10,신월성2호기 발전기 출력,2236-PWRGEN.C,2024-07-25 12:31,"1,051"
11,신월성2호기 원자로 출력,2236-PWRRX.C,2024-07-25 12:31,100
