,expl,name,time,value
0,ERMS-남문서쪽(MS-1),2200-MS001_STD.C,2024-07-25 13:50,0.086
1,ERMS-남문동쪽(MS-2),2200-MS002_STD.C,2024-07-25 13:50,0.085
2,ERMS-1발전소(MS-3),2200-MS003_STD.C,2024-07-25 13:50,0.08
3,ERMS-2발전소(MS-4),2200-MS004_STD.C,2024-07-25 13:50,0.093
4,ERMS-신월성(MS-5),2200-MS005_STD.C,2024-07-25 13:50,0.093
5,ERMS-폐기물저장고(MS-6),2200-MS006_STD.C,2024-07-25 13:50,0.104
6,ERMS-야적장1(MS-7),2200-MS007_STD.C,2024-07-25 13:50,0.084
7,ERMS-2발정수장(MS-8),2200-MS008_STD.C,2024-07-25 13:50,0.092
8,ERMS-직원사택(MS-9),2200-MS009_STD.C,2024-07-25 13:50,0.1
9,ERMS-상봉(MS-10),2200-MS010_STD.C,2024-07-25 13:50,0.091
10,ERMS-육송도로(MS-11),2200-MS011_STD.C,2024-07-25 13:25,0.08
11,ERMS-인수저장시설(MS-12),2200-MS012_STD.C,2024-07-25 13:25,0.085
12,ERMS-동굴입구(MS-13),2200-MS013_STD.C,2024-07-25 13:25,0.081
13,ERMS-전망대부근(MS-14),2200-MS014_STD.C,2024-07-25 13:25,0.103
14,ERMS-경주(MS-15),2200-MS015_STD.C,2024-07-25 13:50,0.093
15,ERMS-울산(MS-16),2200-MS016_STD.C,2024-07-25 13:50,0.093
16,ERMS-신명(MS-17),2200-MS017_STD.C,2024-07-25 13:50,0.104
17,ERMS-신서(MS-18),2200-MS018_STD.C,2024-07-25 13:50,0.09
18,ERMS-기구(MS-19),2200-MS019_STD.C,2024-07-25 13:50,0.093
19,ERMS-석촌(MS-20),2200-MS020_STD.C,2024-07-25 13:50,0.106
20,ERMS-효동(MS-21),2200-MS021_STD.C,2024-07-25 13:50,0.099
21,ERMS-두산(MS-22),2200-MS022_STD.C,2024-07-25 13:50,0.1
22,ERMS-팔조(MS-23),2200-MS023_STD.C,2024-07-25 13:50,0.109
23,ERMS-감포2(MS-24),2200-MS024_STD.C,2024-07-25 13:50,0.1
